Position,Tv,Hv_CO2,Hv_H2O,Hv_N2,Hv_O2,Hv_T,Fv_T,Hvf,Hv_CO2_trn,Hv_H2O_trn,Hv_trn,qv,Hv_flux,dHvf_dz,dTv_dz,dHv_dT
0.2,338.44197727382476,1555.4378622910756,1357.2580086477324,1175.332250562185,1197.6794368567653,1233.9958515122498,22.865181910993112,28215.539622238437,-623.3960413123558,2069.5371607484726,1446.1411194361167,4308.030462117886,5754.171581554003,5754.171581554003,36.72421267209174,30.782427214183645
0.21,338.80151328339997,1569.7922077668634,1369.4142748149334,1185.8418650496449,1208.4780824551415,1245.214757153961,22.931649355810894,28554.828183735848,-624.8598074258128,2040.3557370333158,1415.495929607503,4142.119644449493,5557.615574056996,5557.615574056996,35.20170283192277,30.787535444322764
0.22,339.1464329672936,1583.5700679583424,1381.0771847161272,1195.924620217554,1218.839417860248,1255.9766867180583,22.996253015449998,28882.757669275044,-626.1012834812584,2012.631063285117,1386.5297798038587,3989.3938296072774,5375.923609411137,5375.923609411137,33.80331291234661,30.79227792925828
0.23,339.477918152489,1596.8177890878096,1392.286601728562,1205.6150172476594,1228.798739494764,1266.3183490088263,23.059115499131007,29200.181068463415,-627.0900765389116,1986.1044028593421,1359.0143263204304,3847.863071790701,5206.877398111132,5206.877398111132,32.5105448794803,30.79668467925192
0.24,339.796953514579,1609.5739610929493,1403.0757360907917,1214.9418003976316,1238.3854496746442,1276.2703540966932,23.12034094441328,29507.805723962607,-627.7964007171789,1960.5335293322557,1332.737128615077,3716.0535739223756,5048.7907025374525,5048.7907025374525,31.309580125970655,30.80078173358134
0.25,340.10437084166693,1621.8711614085018,1413.4726389096083,1223.929249653953,1247.624380499709,1285.8585622035882,23.18001480269398,29806.220506049973,-628.1926223043125,1935.6523780596697,1307.459755755357,3592.681718867311,4900.141474622667,4900.141474622667,30.18845112377077,30.804591514972255
0.26,340.4009486590862,1633.739922089392,1423.5035694831872,1232.6000923495324,1256.538783625978,1295.107207643385,23.238217408193954,30095.98285813597,-628.2507126309625,1911.3116644874217,1283.0609518564593,3476.5927898563295,4759.653741712789,4759.653741712789,29.136464703582337,30.808135082545355
0.27,340.6873072580237,1645.2045159727966,1433.189443501236,1240.9724335109784,1265.1471719973442,1304.0356049855195,23.29501142461082,30377.52431623696,-627.9452340607096,1887.2963673587765,1259.351133298067,3366.930898309649,4626.282031607716,4626.282031607716,28.145610117781708,30.811430239956557
0.28,340.96403291826635,1656.2879152727917,1442.5500331149742,1249.0633870030565,1273.4670506585412,1312.6620249698096,23.35045461506608,30651.255038978277,-627.2515753357528,1863.4655471603028,1236.2139718245498,3262.8440284590574,4499.058000283607,4499.058000283607,27.208035631276157,30.814493692537653
0.29,341.23162728276264,1667.0097562141127,1451.6022536224198,1256.887594932909,1281.5133928453959,1321.0021176068615,23.404596057928085,30917.520954256204,-626.1466913584876,1839.6887941685218,1213.542102810034,3163.6823135695,4377.224416379534,4377.224416379534,26.31769264576643,30.817340456975693
0.3,341.49052389312527,1677.386992189668,1460.3607217676317,1264.4577106309887,1289.299134958548,1329.0694147000452,23.457475835852023,31176.613679496302,-624.6099527899432,1815.8226572509432,1191.212704461,3068.8609655226364,4260.073669983636,4260.073669983636,25.46916915518043,30.819983942106337
0.31,341.7411320554167,1687.4356452571667,1468.8392389579008,1271.7856809242408,1296.8364941209256,1336.8767083616085,23.50913157518095,31428.810436667867,-622.6219426274714,1791.7879062592365,1169.165963631765,2977.852440602662,4147.018404234427,4147.018404234427,24.657603499626585,30.82243693347162
0.32,341.98378823410127,1697.1688521414535,1477.0491462720981,1278.8813245932663,1304.135505090309,1344.4345246104438,23.55959231848991,31674.329298724842,-620.1661069148715,1767.4713098644768,1147.3052029496052,2890.254775047253,4037.5599779968584,4037.5599779968584,23.879245306744753,30.82471072799672
0.33,342.2188127204834,1706.599131451241,1485.0012410831414,1285.7539891312263,1311.2057234378692,1351.752893237341,23.60888469513993,31913.37819276218,-617.2278777023097,1742.8020342346583,1125.5741565323488,2805.6656182533497,3931.2397747856985,3931.2397747856985,23.130393331451618,30.8268160856566
0.34,342.44648585490023,1715.737426422602,1492.704972179556,1292.4118552589327,1318.0555094866927,1358.8406072750306,23.65703121137185,32146.13465758488,-613.7951493466597,1717.7180840258036,1103.922934679144,2723.7785070925606,3827.7014417717046,3827.7014417717046,22.408185835402293,30.828762964659024
0.35000000000000003,342.6670554898103,1724.5934005989957,1500.1686918481573,1298.8621549598186,1324.6922519230984,1365.7054489247732,23.704050032088006,32372.750290408036,-609.858781843168,1692.1512760088158,1082.292494165648,2644.31386406412,3726.606358229768,3726.606358229768,21.710022649344197,30.830560526803822
0.36,342.88075785352004,1733.1762726557704,1507.4003615437055,1305.111781462091,1331.1229948849968,1372.3548465782765,23.749958229744667,32593.370282621716,-605.4119543680539,1666.0743969923462,1060.6624426242925,2567.02237462712,3627.6848172514124,3627.6848172514124,21.033584554047785,30.83221761445415
0.37,343.08779441672516,1741.493885108806,1514.4067688090513,1311.166612595694,1337.3537413076995,1378.7951469677316,23.794769020859803,32808.11204917962,-600.4511042442363,1639.4411125293157,1038.9900082850795,2491.716553082946,3530.7065613680256,3530.7065613680256,20.37708962938299,30.83374231232054
0.38,343.28835895145085,1749.553788887975,1521.1944426979212,1317.0323020011438,1343.3902666614713,1385.0324610755604,23.838494528490255,33017.088745131136,-594.9754130771884,1612.2336818948286,1017.2582688176402,2418.207536872626,3435.4658056902663,3435.4658056902663,19.738767759436065,30.835142407454118
0.39,343.48262638537983,1757.3627939907653,1527.7692764138626,1322.7139530888667,1349.2377831491476,1391.072316917817,23.881145329815233,33220.40016459718,-588.9870277404818,1584.442099774563,995.4550720340812,2346.359154853132,3341.8142268872134,3341.8142268872134,19.117300306156732,30.83642525868411
