Position,rho_mol_l,rho_mass_l,V_l,V_CO2,V_MEA,V_H2O,mul_mix,sigma,Dl_CO2,Dl_MEA,Dl_ion,Cpl_CO2,Cpl_MEA,Cpl_H2O
0.63,43219.30563677969,1005.2278024372442,2.313780809909631e-05,2.5677928899169665e-05,6.10408982888787e-05,1.8489869894590143e-05,0.0015984812833984105,0.060565030556060585,4.2912702640728365e-09,2.1281251024633222e-09,7.453595549448744e-10,168.07012994976134,177.69454630026706,75.50757464237711
0.64,43220.69716933111,1005.0857073285592,2.3137063154769933e-05,2.567603268872549e-05,6.104437552806091e-05,1.8490691625312777e-05,0.0015909015676231336,0.06053937948357782,4.29721765150503e-09,2.13105133450809e-09,7.482906959641733e-10,168.0800592620629,177.71325830207357,75.50859633136758
0.65,43222.04248739485,1004.9490830353493,2.313634299655406e-05,2.5674212396145073e-05,6.104770138844961e-05,1.8491478494019522e-05,0.001583654056316736,0.060514801789416574,4.3029137941025285e-09,2.1338539515017965e-09,7.511154032906824e-10,168.08957933023828,177.73116355605,75.50957583058639
0.66,43223.341912362346,1004.8178036153322,2.313564744779693e-05,2.5672465984338953e-05,6.105088110309277e-05,1.8492231622389876e-05,0.00157672710944881,0.06049126409421036,4.308366676969608e-09,2.136536882089149e-09,7.538355542708488e-10,168.0987022374099,177.74828926181198,75.51051438494021
0.67,43224.595958271944,1004.6917370244846,2.313497622893636e-05,2.567079137525983e-05,6.105391978694401e-05,1.8492952116352812e-05,0.0015701091480991355,0.0604687328905815,4.313584184560669e-09,2.139104005325477e-09,7.564531910602613e-10,168.10744009879642,177.7646621146329,75.5114132331065
0.68,43225.805173941866,1004.5707500461025,2.313432904201487e-05,2.5669186494117415e-05,6.105682249351563e-05,1.849364107459121e-05,0.0015637889066361524,0.06044717518491,4.318574157152569e-09,2.141559178585617e-09,7.589704333569512e-10,168.11580496901166,177.7803085082774,75.51227361723613
0.6900000000000001,43226.97020643933,1004.4547057846949,2.3133705536712228e-05,2.5667649239061533e-05,6.105959422115541e-05,1.849429959115723e-05,0.0015577552772036414,0.060426558085105504,4.323344411342527e-09,2.1439062475954368e-09,7.613895235157513e-10,168.123808943643,177.79525460299666,75.51309678540625
0.7000000000000001,43228.09181089185,1004.3434655507943,2.3133105305102495e-05,2.566617751674817e-05,6.106223981749451e-05,1.8494928733727953e-05,0.0015519973868614375,0.06040684916647795,4.327902582923794e-09,2.1461489691004397e-09,7.637127803460003e-10,168.13146395022235,177.80952584048072,75.51388396364226
0.71,43229.17075586268,1004.2368895488354,2.3132527932296303e-05,2.566476922871156e-05,6.106476411181115e-05,1.849552957089222e-05,0.0015465046228298714,0.060388016381354215,4.33225632078244e-09,2.1482911063537866e-09,7.659425967321793e-10,168.13878191936044,177.8231475712976,75.51463638926755
0.72,43230.207927586765,1004.1348364766925,2.3131972940659017e-05,2.5663422287675956e-05,6.106717176374334e-05,1.849610314010032e-05,0.0015412665830088783,0.060370028154850264,4.336413058416116e-09,2.1503363165873894e-09,7.680814303872309e-10,168.14577457988753,177.8361443356798,75.51535527007528
0.73,43231.20423004105,1004.0371650656481,2.3131439843285867e-05,2.566213462112017e-05,6.106946736343197e-05,1.8496650467591937e-05,0.0015362731458431747,0.06035285345765164,4.340380154269472e-09,2.152288220153694e-09,7.701317820902351e-10,168.1524535479035,177.848540323042,75.51604180856809
0.74,43232.16061799282,1003.9437336234838,2.3130928126312737e-05,2.5660904167307938e-05,6.107165540296772e-05,1.8497172562414756e-05,0.0015315144260210248,0.060336461745388696,4.344164849499482e-09,2.1541503797037983e-09,7.720961992094813e-10,168.15883030598235,177.86035924331168,75.51669719382616
0.75,43233.07810359517,1003.8544014390155,2.3130437245384157e-05,2.5659728901471637e-05,6.107374020712444e-05,1.84976704005775e-05,0.0015269808269828982,0.06032082322045067,4.3477741533273334e-09,2.1559262437595014e-09,7.73977240069623e-10,168.1649160505241,177.87162397506438,75.51732258098144
0.76,43233.95769969706,1003.7690279166972,2.3129966655979012e-05,2.565860680732146e-05,6.107572606501813e-05,1.849814495328366e-05,0.0015226629869961152,0.060305908514416216,4.351215044805921e-09,2.157619246051454e-09,7.757775003714225e-10,168.1707219149666,177.88235721095572,75.51791912608164
0.77,43234.80047240218,1003.6874745508135,2.3129515785283297e-05,2.565753591871664e-05,6.107761706758412e-05,1.8498597151012098e-05,0.0015185518557823121,0.0602916891520238,4.354494215114463e-09,2.159232678639731e-09,7.774995579971224e-10,168.17625866691955,177.89258065103186,75.51848794041229
0.78,43235.607491642324,1003.6096037490113,2.3129084058627035e-05,2.5656514291794166e-05,6.107941723494397e-05,1.849902791103585e-05,0.0015146386260534476,0.060278137194153876,4.35761826405449e-09,2.1607697886618326e-09,7.791460047942537e-10,168.18153693129076,177.9023156310224,75.51903012455286
0.79,43236.37984044728,1003.5352798724592,2.31286708945162e-05,2.565554002002686e-05,6.10811304648655e-05,1.849943812567099e-05,0.001510914769418493,0.06026522543039223,4.36059361559772e-09,2.1622337367501137e-09,7.807194197510057e-10,168.18656708349414,177.91158286180365,75.51954675312679
0.8,43237.118620495174,1003.4643701903666,2.3128275701655614e-05,2.5654611252340507e-05,6.108276048421578e-05,1.849982865115602e-05,0.0015073720686221345,0.06025292755395531,4.3634264373800414e-09,2.1636275574060586e-09,7.82222343730202e-10,168.19135914354226,177.92040218335603,75.52003886032509
0.81,43237.82492398563,1003.3967428600727,2.31278978939864e-05,2.56537261535981e-05,6.108431097925596e-05,1.8500200336429086e-05,0.00150400250852181,0.06024121768445446,4.3661228472331804e-09,2.1649542606662514e-09,7.836573280976962e-10,168.1959230366552,177.9287932194427,75.52050747573426
0.8200000000000001,43238.49985581681,1003.3322707431039,2.3127536878814067e-05,2.5652882969176644e-05,6.108578540738189e-05,1.8500553980578816e-05,0.0015007984476821386,0.06023007113549356,4.36868860680307e-09,2.1662166812867676e-09,7.850268419161267e-10,168.200268188438,177.93677442121546,75.52095357031234
0.8300000000000001,43239.144513765124,1003.2708280576804,2.3127192067402056e-05,2.5652079968532163e-05,6.108718716462628e-05,1.850089037036847e-05,0.0014977524453802166,0.060219463700849005,4.3711293912058324e-09,2.167417611477605e-09,7.863333495050636e-10,168.20440388289242,177.9443639186279,75.52137810331222
0.84,43239.75999718645,1003.2122930809264,2.3126862870308914e-05,2.5651315489077183e-05,6.108851946438242e-05,1.8501210252627145e-05,0.001494857381171557,0.060209372179106345,4.373450590020208e-09,2.168559702944079e-09,7.875792453208456e-10,168.20833899355864,177.9515789011358,75.52178198711395
0.85,43240.34749475432,1003.1565528393364,2.3126548650454636e-05,2.5650588042161165e-05,6.108978499132774e-05,1.8501514257417962e-05,0.0014921066612083296,0.060199775463013624,4.375656754176005e-09,2.16964519461806e-09,7.887667282390262e-10,168.2120813033028,177.95843388940727,75.52216598979899
