Position,Tl,Hl_CO2,Hl_MEA,Hl_H2O,Hl_T,Fl_T,Hlf,Hl_CO2_trn,Hl_H2O_trn,Hl_trn,ql,Hl_flux,dHlf_dz,dTl_dz,dHl_dT
0.48,345.39345850151074,-83999.99999,-49903.06745724427,-46430.87004634964,-47946.29049876269,92.86149040524153,-4452363.995117774,-23336.486015242448,37525.96134823019,-774.0866653114615,-1698.2261980613534,-2472.3128633728147,2472.3128633728147,12.839356974933922,83.84823721960086
0.49,345.5193920628211,-83999.99999,-49880.73084951364,-46421.36331216436,-47928.56518990975,92.8927915292231,-4452218.214481066,-22727.976054695795,36375.042136396696,-750.3570653508602,-1636.9271043287101,-2387.2841696795704,2387.2841696795704,12.349419465760892,83.863707941025
0.5,345.6404885553535,-83999.99999,-49859.248297406106,-46412.22152356492,-47911.44041953372,92.92305662005427,-4452077.490852688,-22114.249452155418,35232.70859758014,-726.7901253145301,-1576.982252024737,-2303.772377339267,2303.772377339267,11.871979991813078,83.87872613930872
0.51,345.75687459314577,-83999.99999,-49838.597789569685,-46403.43514533257,-47894.9066608262,92.95229995771012,-4451941.730383646,-21496.75868965632,34100.75392429647,-703.4301908201089,-1518.3984913755098,-2221.828682195619,2221.828682195619,11.407295934162759,83.89329265818628
0.52,345.86867615972506,-83999.99999,-49818.7573938033,-46394.99468827056,-47878.95372299822,92.98053723160675,-4451810.839251612,-20876.939809902942,32980.27201559357,-680.2975899708861,-1461.1864213874646,-2141.4840113583505,2141.4840113583505,10.955084615746774,83.90740960451407
0.53,345.97601812882135,-83999.99999,-49799.70534372376,-46386.89074545188,-47863.57131095243,93.00778437227072,-4451684.719775867,-20256.227978646577,31872.79413348826,-657.4273366338759,-1405.348573233896,-2062.775909867772,2062.775909867772,10.515407329570479,83.92107942737873
0.54,346.07902653159874,-83999.99999,-49781.41963787042,-46379.11382111232,-47848.74852286729,93.03405856139896,-4451563.272166087,-19636.023823429172,30779.786164695888,-634.8526119714646,-1350.9008607683966,-1985.753472739861,1985.753472739861,10.088311714768285,83.9343055081805
0.55,346.17782544080956,-83999.99999,-49763.87859419947,-46371.65456594632,-47834.47413533837,93.05937769357097,-4451446.395333805,-19017.68805842223,29702.302758355152,-612.5928147287474,-1297.8463188717128,-1910.43913360046,1910.43913360046,9.67354103459138,83.94709205493592
0.56,346.2725395834088,-83999.99999,-49747.06038775676,-46364.50357992165,-47820.73668097431,93.08376016720356,-4451333.984230807,-18402.546312400034,28641.959375783925,-590.6872039957361,-1246.194305026887,-1836.881509022623,1836.881509022623,9.271318021987742,83.95944363301949
0.5700000000000001,346.36329278757336,-83999.99999,-49730.94332773722,-46357.651529585666,-47807.52413212139,93.10722557985618,-4451225.933783844,-17791.85036098154,27599.661193983182,-569.1515485706105,-1195.9525323672751,-1765.1040809378856,1765.1040809378856,8.881358638042373,83.97136591380986
0.58,346.4502076867265,-83999.99999,-49715.505911449116,-46351.08917047427,-47794.82439670748,93.12979369531351,-4451122.135769105,-17186.803963354003,26576.635897189386,-548.013478439343,-1147.120445176073,-1695.1339236154158,1695.1339236154158,8.503667772007352,83.9828648429331
0.59,346.5334072713881,-83999.99999,-49700.7265500019,-46344.80723000134,-47782.624937621425,93.15148521964034,-4451022.48063246,-16588.533437841135,25573.996420052754,-527.2979246568068,-1099.7062140924313,-1627.004138749238,1627.004138749238,8.138227655915786,83.99394710744119
0.6,346.6130120485511,-83999.99999,-49686.58407415246,-46338.796621995076,-47770.91304850351,93.17232128170622,-4450926.858475621,-15998.087570503823,24592.441025066568,-507.01654702824646,-1053.7048495981762,-1560.7213966264226,1560.7213966264226,7.784743231490919,84.00462001143353
0.61,346.68914269443843,-83999.99999,-49673.05726434411,-46333.048246462036,-47759.675868667284,93.19232334631859,-4450835.156468211,-15416.447798392755,23633.102265192818,-487.1973080756099,-1009.1157508971771,-1496.313058972787,1496.313058972787,7.443321530761276,84.01489111350455
