Position,rho_mol_v,rho_mass_v,muv_CO2,muv_H2O,muv_N2,muv_O2,muv_mix,Dv_CO2,Dv_H2O,Cpv_CO2,Cpv_H2O,Cpv_N2,Cpv_O2,kt_vap
0.28,38.5949516060951,1.0279546721943436,1.698625403097145e-05,1.1382336158657043e-05,1.9607604008653715e-05,2.2796897388493735e-05,1.777800933831021e-05,2.017235524108469e-05,2.992548823121562e-05,40.075167419516845,33.82907911592037,29.239496857191835,30.07101324676986,0.026508390186713332
0.29,38.564665333839116,1.0253790944592,1.699851733927873e-05,1.1392299987065954e-05,1.9619080606903994e-05,2.2810702344249606e-05,1.7768931120878696e-05,2.0212505291364684e-05,2.9975198303049715e-05,40.09045696258544,33.83095441189463,29.24037004119865,30.07468361853862,0.026520417797765622
0.3,38.535448274436604,1.0228715203678755,1.7010362769441512e-05,1.140192775031475e-05,1.9630164833350694e-05,2.282403550855399e-05,1.7759946132844597e-05,2.025144603581823e-05,3.002350486347704e-05,40.10520055652413,33.832769324275226,29.241214700257174,30.078224200781225,0.026532046460707337
0.31,38.50724930070842,1.0204297696370577,1.7021809490351942e-05,1.141123467820016e-05,1.9640874759175836e-05,2.2836918600105527e-05,1.7751060178808022e-05,2.0289224508571254e-05,3.007046286621571e-05,40.119424658737614,33.83452642626346,29.24203207427134,30.081641215117916,0.026543294471769573
0.32,38.48002578023803,1.0180520905880797,1.7032873366928842e-05,1.1420233345785005e-05,1.965122535191498e-05,2.2849369605949248e-05,1.774227874503836e-05,2.0325878969633822e-05,3.0116116058913606e-05,40.13315137892497,33.8362278175045,29.24282317893516,30.084939850992168,0.026554176584927265
0.33,38.45373722326902,1.015736866587315,1.7043569518689437e-05,1.1428935749332197e-05,1.9661230871043e-05,2.286140566291122e-05,1.773360757387792e-05,2.03614457531124e-05,3.016050585472163e-05,40.146401691908935,33.83787551219405,29.24358898681484,30.088125035785694,0.026564707106677955
0.34,38.428347838797244,1.0134827099760726,1.705391126693932e-05,1.143735244699103e-05,1.9670903884230917e-05,2.287304187405739e-05,1.7725052084038255e-05,2.039595659356555e-05,3.0203667661276884e-05,40.15919415498713,33.83947127392221,29.244330350935023,30.091201125396232,0.026574898374892245
0.35000000000000003,38.40382564037477,1.0112884300780116,1.706391048371238e-05,1.1445492839438549e-05,1.9680255595025686e-05,2.2884291702692278e-05,1.7716617694041367e-05,2.042943938879307e-05,3.02456320832411e-05,40.171545365110624,33.84101666596575,29.2450480285555,30.09417201287074,0.026584761378283417
0.36,38.38014015525007,1.0091529181338654,1.7073578514511646e-05,1.1453365918614269e-05,1.968929670680685e-05,2.2895168011534877e-05,1.7708309794363875e-05,2.046192080513819e-05,3.0286428097156012e-05,40.18347111771714,33.84251319125852,29.245742746479294,30.097041406174665,0.026594306663324328
0.37,38.35726484160286,1.0070752379667867,1.7082925182864636e-05,1.146097945519982e-05,1.9698036492635414e-05,2.2905681943655925e-05,1.7700133399071395e-05,2.0493423634536398e-05,3.032607968970098e-05,40.19498519351425,33.843962136273774,29.24641512881503,30.09981253553825,0.026603543142538984
0.38,38.33517417865884,1.0050545130140949,1.7091959969428957e-05,1.1468340956931155e-05,1.9706483898637344e-05,2.291584424972507e-05,1.769209361098001e-05,2.052396984583384e-05,3.036460984995029e-05,40.20610082740222,33.845364751532315,29.247065781004718,30.102488506148603,0.026612479571911506
0.39,38.31384480575548,1.0030899477113415,1.7100691540247357e-05,1.1475457282969472e-05,1.9714647103425994e-05,2.292566475792097e-05,1.7684195143854193e-05,2.055357950901218e-05,3.0402039042636448e-05,40.21683013793986,33.84672217700586,29.247695255376886,30.10507216029698,0.02662112379999012
0.4,38.29325508581694,1.0011808123583146,1.7109127918663805e-05,1.1482334782541219e-05,1.9722533679402904e-05,2.2935152567897528e-05,1.7676442510386676e-05,2.0582271156268805e-05,3.0438385833531254e-05,40.22718434988067,33.848035467276425,29.248304062994034,30.10756613038817,0.02662948311254092
