Position,rho_mol_l,rho_mass_l,V_l,V_CO2,V_MEA,V_H2O,mul_mix,sigma,Dl_CO2,Dl_MEA,Dl_ion,Cpl_CO2,Cpl_MEA,Cpl_H2O
0.34,43165.123938290235,1011.6561669925353,2.3166851123365727e-05,2.5767230952748753e-05,6.086253547917444e-05,1.8448918830678982e-05,0.001992004552864804,0.06183038480947384,3.2696511413651267e-09,1.9829655995552486e-09,6.195602609770676e-10,167.58908807378646,176.7438859873202,75.45831876372758
0.35000000000000003,43167.45484967621,1011.3279075649077,2.3165600183803768e-05,2.5762493995132444e-05,6.087270343601869e-05,1.8451194716536884e-05,0.0019692185632494024,0.06176051864058407,3.2830124803225732e-09,1.9910005248356078e-09,6.256737775980527e-10,167.61522630553657,176.79768973463936,75.46096576169035
0.36,43169.785768393456,1011.006698271439,2.3164349375394514e-05,2.5757879225960464e-05,6.088253128350744e-05,1.8453400908443333e-05,0.0019472336507422984,0.06169271915469649,3.295970477491174e-09,1.998792880767815e-09,6.316866794728466e-10,167.64062525409923,176.84973291903188,75.46354241212994
0.37,43172.11282667246,1010.6925453444617,2.316310077328861e-05,2.5753385123548546e-05,6.089202829961452e-05,1.845553889717937e-05,0.0019260243400165764,0.061626950025153795,3.308533396003777e-09,2.006347639885783e-09,6.375970780012125e-10,167.66529776044135,176.90006183945164,75.46604936809695
0.38,43174.43218454385,1010.3854580009748,2.3161856436828673e-05,2.5749010265814447e-05,6.090120343084836e-05,1.8457610131238074e-05,0.0019055666602956103,0.061563175876516024,3.320709271557363e-09,2.013669637640394e-09,6.434030524805142e-10,167.68925614436674,176.9487210515607,75.46848731047199
0.39,43176.740147413504,1010.0854489024775,2.316061834649425e-05,2.574475334273715e-05,6.091006511095584e-05,1.8459615977591414e-05,0.001885838078438954,0.061501362602286835,3.3325056852298154e-09,2.020763435648328e-09,6.49102625502362e-10,167.71251194807303,176.99575249794697,75.47085689602328
0.4,43179.033221562306,1009.7925343680502,2.315938837418505e-05,2.5740613183930082e-05,6.0918621150770015e-05,1.8461557696700837e-05,0.0018668174277081285,0.06144147757177352,3.343929615881118e-09,2.027633232942147e-09,6.546937471091262e-10,167.73507574757804,177.04119497835535,75.47315872182647
0.41000000000000003,43181.30792741985,1009.5067293382162,2.315816838343163e-05,2.573658863027495e-05,6.092687927408586e-05,1.8463436554169444e-05,0.0018484845263755808,0.06138348832460022,3.354988090029986e-09,2.0342832570254442e-09,6.601744260362519e-10,167.75695809309633,177.08508681146245,75.47539345235306
0.42,43183.56108120037,1009.2280464314711,2.3156960078388308e-05,2.5732678575400582e-05,6.093484670244689e-05,1.8465253734456697e-05,0.0018308200466839889,0.06132736287367105,3.365687681362087e-09,2.04071746263558e-09,6.655427091712365e-10,167.77816895255012,177.12746385367734,75.4775617129849
0.43,43185.78955026119,1008.9564968860458,2.3155765135106858e-05,2.5728881936733846e-05,6.094253051002435e-05,1.8467010411963173e-05,0.0018138055482534328,0.06127306962040429,3.376034920940127e-09,2.0469397787240617e-09,6.707966997025909e-10,167.798718162692,177.1683611971577,75.47966417050316
0.44,43187.99039085668,1008.6920853718933,2.3154585127714343e-05,2.5725197589212158e-05,6.094993763476814e-05,1.846870775561674e-05,0.0017974231055334384,0.06122057652483062,3.386036327353235e-09,2.052954126479398e-09,6.759346479828245e-10,167.81861564112637,177.20781330444055,75.4817015354689
0.45,43190.16089802929,1008.4348110056953,2.315342150173904e-05,2.572162440297282e-05,6.095707474167899e-05,1.8470346898780403e-05,0.0017816553413452193,0.061169851500362,3.3956982298564647e-09,2.0587643129620316e-09,6.809549252443481e-10,167.83787113612215,177.24585333645007,75.4836745230855
0.46,43192.29840513137,1008.1846685859703,2.3152275681657107e-05,2.5718161212900075e-05,6.096394851080079e-05,1.8471928997251654e-05,0.0017664854895185812,0.06112086241024209,3.405027104514533e-09,2.0643742334528446e-09,6.858560326284629e-10,167.85649459542137,177.28251452517276,75.4855839201149
0.47000000000000003,43194.40059131207,1007.941640857483,2.3151148906118527e-05,2.5714806761501484e-05,6.097056545781665e-05,1.8473455196052452e-05,0.0017518968827565297,0.06107357601684424,3.414029385344726e-09,2.0697877576446794e-09,6.906367203771378e-10,167.8744961818039,177.31782942411454,75.48743054256008
0.48,43196.46520440172,1007.7057069820335,2.315004237657159e-05,2.5711559779302296e-05,6.097693202873082e-05,1.8474926642936414e-05,0.0017378734654581944,0.06102795937166933,3.4227115369633053e-09,2.0750087735824158e-09,6.95295855753684e-10,167.8918860948376,177.35183024321216,75.48921524959275
0.49,43198.49021329326,1007.4768346884129,2.314895717564395e-05,2.5708418883299685e-05,6.098305469085563e-05,1.8476344511583866e-05,0.0017243992946245185,0.06098397846952012,3.4310801943477576e-09,2.0800412716108907e-09,6.998325701883526e-10,167.90867498747346,177.38454940354296,75.49093896964101
0.5,43200.47384930883,1007.2549821591515,2.31478942450535e-05,2.5705382625438785e-05,6.098893977491276e-05,1.8477709966769808e-05,0.0017114586361677555,0.06094159878375676,3.439141958064611e-09,2.0848892212136184e-09,7.042462162502395e-10,167.92487365742832,177.41601875065479,75.49260265617852
0.51,43202.41439403797,1007.0401022017027,2.31468544993634e-05,2.570244950573569e-05,6.0994593659460104e-05,1.847902419959894e-05,0.0016990362053195508,0.06090078578807705,3.446903596926276e-09,2.0895566930680322e-09,7.085363155748841e-10,167.94049316803444,177.44627038515767,75.49420732869046
0.52,43204.310489309864,1006.8321325067276,2.314583865995112e-05,2.569961788627647e-05,6.100002266657939e-05,1.8480288411197572e-05,0.0016871165649752725,0.06086150352537394,3.4543719582880595e-09,2.0940478048765506e-09,7.127027227216248e-10,167.95554503852688,177.47533630234906,75.49575405114619
0.53,43206.16085001634,1006.6310067661043,2.314484740894589e-05,2.5696886108389846e-05,6.100523306826204e-05,1.8481503806457075e-05,0.0016756847702651717,0.060823716420171765,3.461553924560883e-09,2.0983666954407383e-09,7.167454337982676e-10,167.97004085271178,177.5032482646953,75.49724392263413
0.54,43207.96441118975,1006.4366467631556,2.314388131047955e-05,2.569425239133071e-05,6.1010231184191345e-05,1.848267161891863e-05,0.0016647258877985282,0.06078738791816807,3.4684565628310767e-09,2.102517614543681e-09,7.206647372296241e-10,167.98399268515226,177.53003838864072,75.49867810627046
0.55,43209.72035879148,1006.2489648463645,2.3142940794259025e-05,2.5691714886236507e-05,6.1015023219999936e-05,1.848379307473198e-05,0.0016542251179952378,0.06075248107516473,3.475086912619851e-09,2.1065047952908446e-09,7.244611572348913e-10,167.99741276898874,177.55573833175538,75.5000577834874
0.56,43211.42792742978,1006.067868472893,2.3142026263964754e-05,2.5689271697026172e-05,6.1019615420955346e-05,1.8484869421517315e-05,0.0016441680440200794,0.06071895909999143,3.4814521513945203e-09,2.1103325538073995e-09,7.281353887542049e-10,168.0103135624111,177.58037996959322,75.50138418797475
0.5700000000000001,43213.0866761741,1005.8932519091234,2.314113794956838e-05,2.5686920810676976e-05,6.102401396241575e-05,1.8485901910040487e-05,0.001634540130642838,0.06068678417417306,3.4875594921585695e-09,2.11400522744676e-09,7.316884366128084e-10,168.02270787909873,177.60399498931298,75.50265858175833
0.58,43214.69622808012,1005.7250062419253,2.314027604688375e-05,2.5684660200665645e-05,6.1028224962779544e-05,1.8486891790114823e-05,0.001625327276618923,0.06065591898984201,3.493416153181936e-09,2.1175271567823555e-09,7.351214379395633e-10,168.03460855014725,177.6266148101421,75.50388224872323
0.59,43216.25639237821,1005.5630131996433,2.3139440652160794e-05,2.5682487749143275e-05,6.1032254548038634e-05,1.8487840327586295e-05,0.0016165154441261074,0.060626325698190445,3.4990294606286024e-09,2.1209027472409863e-09,7.384357794873144e-10,168.0460287403156,177.64827098487712,75.50505651428216
0.6,43217.76718517037,1005.4071477496237,2.3138631751043756e-05,2.5680401298901696e-05,6.103610870504792e-05,1.8488748771298088e-05,0.0016080907773777587,0.060597966462639305,3.5044066536574528e-09,2.1241363518698833e-09,7.416330367272473e-10,168.05698163591984,177.66899445825624,75.50618270323235
0.61,43219.228659469736,1005.2572813826761,2.313784930960101e-05,2.5678398661977416e-05,6.103979343394984e-05,1.848961838267114e-05,0.0016000397701049504,0.060570803757728005,3.509555054868263e-09,2.127232373975849e-09,7.447149278418149e-10,168.06748055491988,177.68881625517614,75.50726217511999
0.62,43220.64111954855,1005.1132770594684,2.313709315958535e-05,2.5676477587560173e-05,6.104331460616231e-05,1.8490450408496118e-05,0.0015923489538593439,0.060544799737004426,3.514481914229202e-09,2.1301951730926783e-09,7.476833912518007e-10,168.077538916885,177.70776687215752,75.50829628933171
0.63,43222.00491603118,1004.9749959580658,2.31363631081606e-05,2.5674635825066573e-05,6.104667802290557e-05,1.8491246088556288e-05,0.0015850052514429435,0.060519917158452764,3.5191944489581916e-09,2.13302908912276e-09,7.505404664546266e-10,168.0871700879088,177.7258764635276,75.50928641336262
0.64,43223.320532365295,1004.8422938057012,2.3135658891620963e-05,2.5672871079313187e-05,6.104988943344278e-05,1.8492006661396622e-05,0.0015779957511355487,0.060496118773588035,3.5236998793467494e-09,2.1357384638112567e-09,7.532883612119111e-10,168.09638754126058,177.74317498405838,75.51023392890879
0.65,43224.5885978707,1004.715023186597,2.3134980168423425e-05,2.5671181054542813e-05,6.105295441574033e-05,1.8492733337222038e-05,0.0015713078033626519,0.06047336778356209,3.528005268603623e-09,2.1383275444078017e-09,7.559293957258982e-10,168.10520459758294,177.75969158364015,75.51114019704906
0.66,43225.80976267379,1004.5930349028413,2.3134326586138747e-05,2.566956344372273e-05,6.105587853275931e-05,1.849342732967343e-05,0.0015649290794042675,0.060451627818745995,3.5321177072134117e-09,2.140800594643133e-09,7.584659901077913e-10,168.1136346076868,177.77545534072198,75.5120065968165
0.67,43226.98484145165,1004.4761764917008,2.3133697704519746e-05,2.566801593657745e-05,6.105866716094945e-05,1.8494089820145827e-05,0.0015588474574908195,0.060430862888328815,3.5360441054198902e-09,2.1431617697952952e-09,7.609006730516297e-10,168.1216907560665,177.79049446155554,75.51283447973178
0.68,43228.11467538946,1004.3642951267274,2.313309306938889e-05,2.5666536236461334e-05,6.106132559721906e-05,1.849472197817531e-05,0.0015530511628554415,0.060411037645033215,3.539791309783635e-09,2.1454151869044222e-09,7.632360354671414e-10,168.12938611154135,177.80483675349168,75.51362519429908
0.6900000000000001,43229.20018218963,1004.2572363950659,2.3132512185871963e-05,2.5665122047080273e-05,6.106385903548654e-05,1.849532495695097e-05,0.0015475286774626826,0.060392117196444384,3.543366077785699e-09,2.1475649094466097e-09,7.654747483640353e-10,168.13673364152527,177.81850953218026,75.51438007954837
0.7000000000000001,43230.242364379286,1004.1548460831408,2.3131954513953333e-05,2.5663771105818742e-05,6.10662724784532e-05,1.8495899873147933e-05,0.0015422688082892175,0.06037406744038083,3.546774958487812e-09,2.1496148755453766e-09,7.676195181611938e-10,168.1437460175714,177.83153917333993,75.51510043894613
0.71,43231.24222992131,1004.0569696936021,2.3131419510954457e-05,2.5662481155474495e-05,6.10685708922401e-05,1.8496447839671973e-05,0.001537260649693282,0.06035685476861862,3.5500244836313715e-09,2.1515690129736355e-09,7.696731076115631e-10,168.1504358591344,177.84395186362516,75.51578758061355
0.72,43232.200871903995,1003.9634539090317,2.313090658888676e-05,2.5661249983866154e-05,6.107075902058407e-05,1.8496969925104775e-05,0.0015324936284333802,0.060340446477673795,3.5531209300323916e-09,2.153431096161059e-09,7.716382877880404e-10,168.156815414759,177.85577268956516,75.51644276576914
