Position,kl_CO2,kv_CO2,kv_H2O,ul,uv,h_L,h_V,a_e,UT,P,Clp,Cvp,eps,a_p,A,Lp,d_h
0.21,3.5113579535915494e-05,2.9386328043251718e-05,3.830328747229156e-05,0.0065946482892584105,1.83262582911099,0.0553705443760433,0.9146294556239567,229.13569979443758,106.41819679366783,109500.0,0.203,0.35,0.97,250.0,0.3216990877275948,82.91213601226671,0.015519999999999999
0.22,3.532267899236883e-05,2.9457732704103593e-05,3.8384875505294554e-05,0.00659901115188342,1.839623673744859,0.055225004033420254,0.9147749959665797,229.1923704845541,106.61752907628899,109500.0,0.203,0.35,0.97,250.0,0.3216990877275948,82.91213601226671,0.015519999999999999
0.23,3.5526138496798135e-05,2.952697600012521e-05,3.846410428156589e-05,0.0066032384155462346,1.8464200359754555,0.055083363723812694,0.9149166362761872,229.24730989281485,106.81043012830581,109500.0,0.203,0.35,0.97,250.0,0.3216990877275948,82.91213601226671,0.015519999999999999
0.24,3.5724298573549665e-05,2.959419338367761e-05,3.8541123409259844e-05,0.00660733859316783,1.8530277156382413,0.05494538795427643,0.9150546120457236,229.30061348843333,106.99731438579327,109500.0,0.203,0.35,0.97,250.0,0.3216990877275948,82.91213601226671,0.015519999999999999
0.25,3.591743811268431e-05,2.9659497453205962e-05,3.8616056778081136e-05,0.006611318747286929,1.8594573041867013,0.05481088084411991,0.9151891191558801,229.35236090544475,107.17852757977725,109500.0,0.203,0.35,0.97,250.0,0.3216990877275948,82.91213601226671,0.015519999999999999
0.26,3.610582241676028e-05,2.9722994182584572e-05,3.868902091177848e-05,0.006615185583533072,1.8657187913370186,0.05467966237684274,0.9153203376231572,229.40262782133578,107.35439616470441,109500.0,0.203,0.35,0.97,250.0,0.3216990877275948,82.91213601226671,0.015519999999999999
0.27,3.628965637948301e-05,2.9784767984460427e-05,3.876010792028863e-05,0.006618944431578866,1.8718199743098765,0.054551589216049974,0.91544841078395,229.4514747295234,107.52518059048371,109500.0,0.203,0.35,0.97,250.0,0.3216990877275948,82.91213601226671,0.015519999999999999
0.28,3.64691313322e-05,2.9844897210685332e-05,3.8829403150662475e-05,0.006622600267093555,1.8777681418297005,0.054426530836422855,0.9155734691635771,229.49895843882913,107.69112421597445,109500.0,0.203,0.35,0.97,250.0,0.3216990877275948,82.91213601226671,0.015519999999999999
0.29,3.664440975496309e-05,2.9903449507639012e-05,3.889697980417528e-05,0.0066261574063819,1.8835694850093676,0.0543043765740239,0.9156956234259761,229.5451284784993,107.85243767430686,109500.0,0.203,0.35,0.97,250.0,0.3216990877275948,82.91213601226671,0.015519999999999999
0.3,3.681562439668909e-05,2.9960481670431328e-05,3.8962898790382984e-05,0.00662961947353088,1.8892291509911934,0.05418503447930269,0.9158149655206973,229.59002697268335,108.00929926909787,109500.0,0.203,0.35,0.97,250.0,0.3216990877275948,82.91213601226671,0.015519999999999999
