Position,Nl_CO2,Nv_CO2,kv_CO2,a_eA,DF_CO2,fv_CO2,fl_CO2,Psi,H_CO2_mix
0.61,0.19633059371832667,-0.19633059371832667,3.1125637591792254e-05,74.14538221294872,1016.8093663811849,1877.5023310120544,860.6929646308695,305.1768380926529,3342.408757005875
0.62,0.1898256613611384,-0.1898256613611384,3.114690230843167e-05,74.15041396271702,973.7017336848919,1823.470258811387,849.7685251264952,308.6242616982798,3347.5722188544596
0.63,0.18339548286228097,-0.18339548286228097,3.116734469904325e-05,74.15524382345528,932.0343223204404,1771.3377881181948,839.3034657977544,311.9841134360158,3352.53863706853
0.64,0.1770502856386326,-0.1770502856386326,3.118698602601863e-05,74.15987769116285,891.7888739237686,1721.072779270083,829.2839053463143,315.25501305152494,3357.312851797493
0.65,0.17079950531159097,-0.17079950531159097,3.1205847690849376e-05,74.16432143037724,852.9448306528641,1672.6404622832576,819.6956316303936,318.43595109187487,3361.899780308809
0.66,0.16465189990998502,-0.16465189990998502,3.122395121740548e-05,74.16858087715809,815.4805862471304,1626.0054437509473,810.5248575038169,321.52610481948784,3366.304366807353
0.67,0.15861529462274263,-0.15861529462274263,3.124131835981772e-05,74.17266185867597,779.3718056373102,1581.1291047897816,801.7572991524714,324.5250800446338,3370.5316605904513
0.68,0.15269681856986503,-0.15269681856986503,3.125797078810954e-05,74.17657012905119,744.5933267090448,1537.972418182505,793.3790914734601,327.4326674613891,3374.586696532744
0.6900000000000001,0.14690275575982967,-0.14690275575982967,3.1273930301133705e-05,74.18031141769573,711.1182728156862,1496.494665564128,785.3763927484417,330.2489501957536,3378.4745606167457
0.7000000000000001,0.1412385848803975,-0.1412385848803975,3.128921853840346e-05,74.18389136368117,678.9183573680842,1456.6537247411352,777.735367373051,332.9742970620487,3382.200332737154
0.71,0.13570907105621915,-0.13570907105621915,3.130385712198727e-05,74.18731555661745,647.9646170683623,1418.4072813853286,770.4426643169663,335.6092328562364,3385.7690848902103
0.72,0.13031816143897346,-0.13031816143897346,3.1317867461987894e-05,74.19058948647212,618.2266616334873,1381.711510918175,763.4848492846877,338.15457918178436,3389.185874375268
0.73,0.1250691303901542,-0.1250691303901542,3.133127079114998e-05,74.19371856121015,589.6736407731358,1346.5225785932075,756.8489378200717,340.6113017198642,3392.455718740777
0.74,0.1199645399825484,-0.1199645399825484,3.134408815279955e-05,74.19670810299671,562.2739319431604,1312.796108829372,750.5221768862117,342.9805599226401,3395.5836034410177
0.75,0.11500629783804854,-0.11500629783804854,3.135634018737034e-05,74.19956330052423,535.9953904398359,1280.4874125114368,744.4920220716009,345.26369625287583,3398.574439436421
0.76,0.11019569511654466,-0.11019569511654466,3.136804740881608e-05,74.20228928026783,510.8055729302963,1249.5519619613642,738.7463890310679,347.4621636781367,3401.433103373134
0.77,0.10553344591187877,-0.10553344591187877,3.137922978493413e-05,74.20489100511317,486.67176707044405,1219.9451419879713,733.2733749175272,349.57757758340085,3404.1643652334737
0.78,0.10101971574792086,-0.10101971574792086,3.138990704521677e-05,74.20737335404208,463.56113342029096,1191.622624071799,728.061490651508,351.61164941367406,3406.772938849998
0.79,0.09665417281751423,-0.09665417281751423,3.140009850665958e-05,74.20974108096522,441.44083959119655,1164.540420862806,723.0995812716095,353.5661898067089,3409.2634470459307
0.8,0.09243604594491053,-0.09243604594491053,3.140982292114362e-05,74.2119987810495,420.27823672151703,1138.6550335815757,718.3767968600587,355.44309943410184,3411.6403919442496
0.81,0.08836409950454996,-0.08836409950454996,3.14190988603516e-05,74.21415098555997,400.04067357568954,1113.923362723672,713.8826891479824,357.2443436280999,3413.908227803381
0.8200000000000001,0.08443679035949227,-0.08443679035949227,3.1427944068296265e-05,74.21620200854714,380.6961051542729,1090.3032096790448,709.6071045247719,358.9719454089394,3416.0712309854907
0.8300000000000001,0.08065217990239794,-0.08065217990239794,3.1436376042734354e-05,74.21815608816041,362.2125957929122,1067.7528416525556,705.5402458596434,360.6279798987102,3418.1336175796823
0.84,0.0770080650589282,-0.0770080650589282,3.1444411565781834e-05,74.22001727663765,344.5588155343471,1046.2314338248616,701.6726182905145,362.2145597804107,3420.099447948876
0.85,0.07350212592843697,-0.07350212592843697,3.1452065529421654e-05,74.22178916529354,327.7045289100797,1025.699156528153,697.9946276180733,363.7339066355745,3421.972420645665
