Position,Tl,Hl_CO2,Hl_MEA,Hl_H2O,Hl_T,Fl_T,Hlf,Hl_CO2_trn,Hl_H2O_trn,Hl_trn,ql,Hl_flux,dHlf_dz,dTl_dz,dHl_dT
0.25,340.91270255673123,-83999.99999,-50695.13679952537,-46768.987888632735,-48531.23228680964,91.84318099005247,-4457262.750587736,-34045.6050332977,65854.66159989977,-1343.8859348405174,-3639.042335453228,-4982.928270293745,4982.928270293745,28.827080697749974,83.37903935893658
0.26,341.195924384587,-83999.99999,-50645.224914865736,-46747.6233729551,-48496.661964762534,91.90257772838204,-4456968.245783658,-33761.90856487153,64473.493847045145,-1317.367490468258,-3517.50171063361,-4834.869201101868,4834.869201101868,27.82472871102566,83.40438960084585
0.27,341.46936188258803,-83999.99999,-50597.01768922022,-46726.99602108502,-48463.02298973221,91.96047107303589,-4456682.423759143,-33466.449362481224,63132.50818290628,-1291.4325580631207,-3402.3177052973642,-4693.750263360485,4693.750263360485,26.87088694719088,83.42933915761992
0.28,341.7334830981889,-83999.99999,-50550.43461763871,-46707.070609927934,-48430.278846930894,92.0169156154625,-4456404.881891359,-33157.50384211985,61824.49280448,-1265.9673604991171,-3292.639076682654,-4558.606437181771,4558.606437181771,25.96030292989046,83.4538919282281
0.29,341.9886991363084,-83999.99999,-50505.405048657456,-46687.81620497273,-48398.398480383665,92.07195742179596,-4456135.284168999,-32833.58315364923,60543.091551218255,-1240.8686252413413,-3187.8224691614696,-4428.691094402811,4428.691094402811,25.08840913793603,83.47804951206051
0.3,342.23536312900194,-83999.99999,-50461.868394998295,-46669.2062391232,-48367.35629195266,92.1256337391672,-4455873.350684235,-32493.45532705518,59281.92018298436,-1216.017351170423,-3087.291479917855,-4303.308831088278,4303.308831088278,24.250481360119068,83.50181135185295
0.31,342.47381256935273,-83999.99999,-50419.76668443988,-46651.21531961209,-48337.12818026355,92.17797947720618,-4455618.8093874175,-32136.039986695334,58037.041013760376,-1191.3613514746617,-2990.5291328375397,-4181.890484312202,4181.890484312202,23.443704709843633,83.52517636501634
0.32,342.7043306383901,-83999.99999,-50379.051403687015,-46633.82214642391,-48307.695172369684,92.22902140961936,-4455371.45230185,-31760.52415921673,56803.707883192124,-1166.810352842384,-2897.1479834452625,-4063.9583362876465,4063.9583362876465,22.66451461220511,83.54814136897878
0.33,342.92718541225685,-83999.99999,-50339.67659244702,-46617.00655476512,-48279.03968120506,92.27878403257816,-4455131.076042193,-31366.266252740865,55578.79923175235,-1142.3172743074037,-2806.7601728225413,-3949.077447129945,3949.077447129945,21.910526800951807,83.57070276656748
0.34,343.1426194633719,-83999.99999,-50301.60069135901,-46600.75030008302,-48251.146494127875,92.3272881797801,-4454897.507368131,-30952.83062697697,54359.702330333836,-1117.8425901419546,-2719.0776863369233,-3836.920276478878,3836.920276478878,21.179688218174878,83.59285606775472
0.35000000000000003,343.3508482987367,-83999.99999,-50264.786830079414,-46585.03717636983,-48224.00283033671,92.37455078500086,-4454670.598506964,-30520.00001779535,53143.7570668772,-1093.3368544148477,-2633.8392504046114,-3727.1761048194594,3727.1761048194594,20.469763016477017,83.61459599373572
0.36,343.55208083955694,-83999.99999,-50229.199216463916,-46569.851471126094,-48197.59648496938,92.42058791839285,-4454450.203394335,-30067.720816476536,51929.814806418064,-1068.793341269548,-2550.815782345989,-3619.609123615537,3619.609123615537,19.77962945360682,83.63591716232199
0.37,343.7465019694479,-83999.99999,-50194.80622971978,-46555.17928257143,-48171.91728118598,92.46541255399457,-4454236.204921762,-29596.156213867467,50716.17892260185,-1044.1802052428932,-2469.8413774773758,-3514.021582720269,3514.021582720269,19.107608642396226,83.65681370196398
0.38,343.93428957858526,-83999.99999,-50161.577413517065,-46541.00723370917,-48146.95559664518,92.50903677626475,-4454028.485955235,-29105.636687773393,49502.20314803639,-1019.4944357930692,-2390.7477392188925,-3410.242175011962,3410.242175011962,18.452733918046405,83.6772797200077
