Position,Tv,Hv_CO2,Hv_H2O,Hv_N2,Hv_O2,Hv_T,Fv_T,Hvf,Hv_CO2_trn,Hv_H2O_trn,Hv_trn,qv,Hv_flux,dHvf_dz,dTv_dz,dHv_dT
0.24,340.1423471539002,1623.3906545391967,1414.7570493173412,1225.0395211907544,1248.7657877458846,1286.9613229847266,23.18103699316192,29833.098036877556,-663.25993067515,2034.4379316354882,1371.178000960338,3767.794861503954,5138.972862464292,5138.972862464292,31.660284708175606,30.80284452852842
0.25,340.4530487127223,1635.82543871349,1425.265773920566,1234.123335420364,1258.1049088919683,1296.64861301821,23.241996607681603,30136.702665124292,-663.0079379745289,2006.8938728150463,1343.8859348405174,3639.042335453228,4982.928270293745,4982.928270293745,30.49456395025545,30.806509747028475
0.26,340.7524635059678,1647.8137551411637,1435.393386561613,1242.8774609393213,1267.106028515293,1305.982244739303,23.30139334601117,30431.20598757713,-662.3016349168283,1979.6691253850863,1317.367490468258,3517.50171063361,4834.869201101868,4834.869201101868,29.397699125045392,30.80990333594023
0.27,341.0412088611047,1659.379743317037,1445.1607006429874,1251.3199151875463,1275.7875668935267,1314.981456087384,23.359286690665016,30717.02882565333,-661.1136684862704,1952.5462265493911,1291.4325580631207,3402.3177052973642,4693.750263360485,4693.750263360485,28.36167912086859,30.813043674789775
0.28,341.3198681659574,1670.5462460618478,1454.5873885916267,1259.4677266040703,1284.166938821368,1323.6644440403322,23.415731233091623,30994.570864448066,-659.4183758599357,1925.385736359053,1265.9673604991171,3292.639076682654,4558.606437181771,4558.606437181771,27.378655718598775,30.815948039149685
0.29,341.5889404475909,1681.3327811610416,1463.6902753120607,1267.3354599383654,1292.2590355611335,1332.0467944723189,23.47077303942508,31264.1679909535,-657.1926152286594,1898.0612404700007,1240.8686252413413,3187.8224691614696,4428.691094402811,4428.691094402811,26.442628675104764,30.81863203191581
0.3,341.8488573146799,1691.7562110463216,1472.4839102749459,1274.9357111397537,1300.0767321036035,1340.1419969044578,23.524449356796328,31526.10253709482,-654.4167246178785,1870.4340757883015,1216.017351170423,3087.291479917855,4303.308831088278,4303.308831088278,25.548249427153184,30.821109657606595
0.31,342.1000264748829,1701.8324811324724,1480.9820390461355,1282.2803794889999,1307.6321944411118,1347.9628122683932,23.5767950948353,31780.64302030985,-651.073293622977,1842.4346450976386,1191.3613514746617,2990.5291328375397,4181.890484312202,4181.890484312202,24.690737195795226,30.823394296606974
0.32,342.3427843506045,1711.574713786999,1489.1959995049447,1289.3792817234462,1314.9354529817554,1355.5197844232548,23.62783702724849,32028.00055356367,-647.1489291373385,1813.9592819797226,1166.810352842384,2897.1479834452625,4063.9583362876465,4063.9583362876465,23.866452104452097,30.825497857007246
0.33,342.5774517459188,1720.9954365026535,1497.1366047208767,1296.2417795747492,1321.9960758735606,1362.822978586562,23.67759965020728,32268.376881075623,-642.6333462035026,1784.9506205109062,1142.3172743074037,2806.7601728225413,3949.077447129945,3949.077447129945,23.071803189544006,30.82743170324371
0.34,342.80431099031875,1730.1056611214938,1504.8133691952823,1302.8761112040722,1328.8224805469001,1369.8812696267871,23.726103797409216,32501.94519329187,-637.5198511365193,1755.3624412784739,1117.8425901419546,2719.0776863369233,3836.920276478878,3836.920276478878,22.304068736925736,30.829206403823797
0.35000000000000003,343.023613587519,1738.915187147076,1512.2347672502563,1309.2896146782361,1335.4221629560175,1376.7025731846156,23.77336640262999,32728.854699761396,-631.8058516984925,1725.1427061133402,1093.3368544148477,2633.8392504046114,3727.1761048194594,3727.1761048194594,21.560786095518903,30.830831724143277
0.36,343.235600109313,1747.433398041552,1519.4089059316461,1315.4893096133867,1341.802295584397,1383.294472928332,23.819403536021966,32949.24925982875,-625.4921375916703,1694.285478861218,1068.793341269548,2550.815782345989,3619.609123615537,3619.609123615537,20.83978814560426,30.83231710394848
0.37,343.4404789251136,1755.6684043329235,1526.3428049204401,1321.4812749900836,1347.9690867500422,1389.6635498924384,23.864228171623694,33163.24803642172,-618.5837661236742,1662.7639713665674,1044.1802052428932,2469.8413774773758,3514.021582720269,3514.021582720269,20.13945355210849,30.833671213213492
0.38,343.6384514628889,1763.6280565106385,1533.0432511788854,1327.2713878117086,1353.9285403661954,1395.816172704889,23.907852393893865,33370.96702603835,-611.0894936328873,1630.5839294259565,1019.4944357930692,2390.7477392188925,3410.242175011962,3410.242175011962,19.458164024922475,30.834902407652727
0.39,343.8297022333172,1771.3195424812625,1539.5164611542864,1332.8650312645916,1359.6861552979465,1401.758186615593,23.95028738530328,33572.51141414504,-603.0218501655638,1597.7600482301236,994.7381980645598,2313.4220511359404,3308.1602492005004,3308.1602492005004,18.794773368670345,30.83601859937397
0.4,344.0144025991196,1778.7495374811576,1545.7682081673615,1338.2672048723653,1365.24703843828,1407.495025816826,23.9915431424724,33767.97763469968,-594.3972820963731,1564.301874275235,969.9045921788618,2237.759724713558,3207.66431689242,3207.66431689242,18.14821921768177,30.83702721429949
0.41000000000000003,344.1927193552291,1785.9245479397218,1551.8041126890648,1343.4827753829848,1370.6161627283498,1413.0319867437943,24.03162966940515,33957.46141645067,-585.2356228538605,1530.254695009452,945.0190721555915,2163.6763140728262,3108.6953862284176,3108.6953862284176,17.517616842864854,30.83793547554172
0.42,344.36480633828035,1792.850572830617,1557.629358212693,1348.5162313013,1375.7981142725703,1418.3739594693911,24.070556745943556,34141.05087837663,-575.5602032195412,1495.6448486692163,920.0846454496751,2091.1189517313264,3011.2035971810014,3011.2035971810014,16.902349787613417,30.838750108058758
0.43,344.53081478611546,1799.5335195041196,1563.2490418033935,1353.3719858400482,1380.7974040238864,1423.5257540917667,24.108334020394878,34318.83436627881,-565.3975361891379,1460.5240130311688,895.1264768420309,2020.0298793390134,2915.1563561810444,2915.1563561810444,16.301772601084924,30.83947761425143
0.44,344.69088968333074,1805.979055816682,1568.6680503060595,1358.0542699879747,1385.618357552008,1428.4919860174937,24.144971816099016,34490.89874191569,-554.7769245935956,1424.9491832053181,870.1722586117226,1950.3851663686607,2820.557424980383,2820.557424980383,15.715522132073676,30.840124186942905
0.45,344.8451715360063,1812.1926807849345,1573.891120334698,1362.5671843790535,1390.2651683006447,1433.2771268961965,24.180480718010344,34657.32993047874,-543.7303324088931,1388.9688204886163,845.2384880797232,1882.1573414701488,2727.395829549872,2727.395829549872,15.143214715715832,30.84069564893113
0.46,344.9937993820353,1818.1798451545042,1578.9229401099847,1366.914787312818,1394.7419880960467,1437.8856044574304,24.214871788609745,34818.2155586243,-532.2920198614597,1352.6612576891928,820.3692378277331,1815.33264064489,2635.7018784726233,2635.7018784726233,14.584584401691728,30.84119767006431
0.47000000000000003,345.1369084072567,1823.945854790714,1583.7680686891467,1371.1010249922151,1399.0528552046615,1442.3217206210945,24.2481573102516,34973.643973613056,-520.4979763906509,1316.0824530013801,795.5844766107292,1749.9107760635604,2545.4952526742895,2545.4952526742895,14.03947974418079,30.841635516504212
0.48,345.2746331683298,1829.4959999484831,1588.431045014915,1375.1298257685996,1403.2017912768767,1446.589756540946,24.28034977867701,35123.70527506539,-508.38594579106467,1279.3083748192787,770.9224290282141,1685.8839813857828,2456.8064104139967,2456.8064104139967,13.507695499910037,30.842014269101785
0.49,345.4071066966431,1834.8355186806743,1592.9163575233358,1379.005073903722,1407.1927742382659,1450.693943306423,24.311463055382408,35268.49220736112,-495.99466267381223,1242.4159218618377,746.4212591880255,1623.2659770264124,2369.6872362144377,2369.6872362144377,12.989204020517722,30.84233874782368
