Position,rho_mol_v,rho_mass_v,muv_CO2,muv_H2O,muv_N2,muv_O2,muv_mix,Dv_CO2,Dv_H2O,Cpv_CO2,Cpv_H2O,Cpv_N2,Cpv_O2,kt_vap
0.25,38.75077542351705,1.0410315050564118,1.6923408997833038e-05,1.1331332222822703e-05,1.9548768995168375e-05,2.2726129061690682e-05,1.782027382262789e-05,1.9969507607553933e-05,2.9672469617128272e-05,39.996398931297364,33.81952731451189,29.235042508160593,30.052125370850774,0.026443757908535082
0.26,38.71725125785167,1.0383123669113843,1.6936894331118146e-05,1.134226863863179e-05,1.956139690739622e-05,2.2741317819539818e-05,1.7811506128305248e-05,2.0012749772796428e-05,2.9725511876311958e-05,40.013359937818166,33.82156868280655,29.235995439544876,30.056189474702677,0.026456901401706857
0.27,38.68491778619559,1.0356634940386422,1.6949918966672483e-05,1.1352835607328817e-05,1.9573591828324196e-05,2.275598600342123e-05,1.7802791050946295e-05,2.0054702962903665e-05,2.97770517793088e-05,40.02971091981526,33.82354460722416,29.23691731584014,30.06010894744678,0.026469605992441407
0.28,38.65370231732735,1.0330814269560864,1.6962510298704773e-05,1.1363054933102391e-05,1.9585379570016415e-05,2.2770164637199846e-05,1.7794133336169213e-05,2.0095436668137074e-05,2.982717363549102e-05,40.04548944810044,33.82545880053132,29.237809921452367,30.06389263541811,0.026481898363422206
0.29,38.62354236128613,1.030563224411746,1.6974691814559846e-05,1.1372945294783221e-05,1.9596782269133764e-05,2.2783880326408157e-05,1.7785537211643138e-05,2.013501022115462e-05,2.9875948717634598e-05,40.06072784554486,33.82731443032528,29.23867478082103,30.067548144156298,0.026493800929450636
0.3,38.59438367647596,1.028106397674997,1.698648384708853e-05,1.1382522848728338e-05,1.9607819094327162e-05,2.2797156108685924e-05,1.7777007073535598e-05,2.0173474426733483e-05,2.992343773759629e-05,40.07545418974672,33.82911422511927,29.239513208865088,30.071082075842753,0.026505333087462574
0.31,38.56617523007883,1.0257086428572295,1.6997905586375318e-05,1.1391802857022194e-05,1.961850813138249e-05,2.2810013721028525e-05,1.776854736502569e-05,2.0210877238894977e-05,2.9969697786586996e-05,40.089694869844294,33.83086077523103,29.240326451874065,30.074500640629825,0.02651651321764155
0.32,38.5388746750914,1.0233681067867177,1.7008972842348678e-05,1.1400797865359136e-05,1.9628864291044748e-05,2.282247108291306e-05,1.7760162328174075e-05,2.024725754603425e-05,3.001477444909094e-05,40.10347183024769,33.83255618604894,29.241115526599174,30.077808993303787,0.026527356103378585
0.33,38.51244186260087,1.0210830769801555,1.701970065204332e-05,1.1409519817110079e-05,1.963890175070835e-05,2.2834545233115203e-05,1.7751856482426295e-05,2.0282652200486742e-05,3.005871086003279e-05,40.116805854490444,33.83420247213024,29.241881404294237,30.081012019924344,0.026537876036388665
0.34,38.48684152450029,1.0188520919583133,1.7030102178288184e-05,1.141797915523741e-05,1.964863292504415e-05,2.2846251091314706e-05,1.774363414854115e-05,2.03170931530586e-05,3.0101543817274885e-05,40.12971521752386,33.83580138527472,29.24262493107447,30.084114013018446,0.026548085279439144
0.35000000000000003,38.462042405698334,1.016673911182635,1.704018904701547e-05,1.1426185093270348e-05,1.9658068782875548e-05,2.2857601839087055e-05,1.773549976461395e-05,2.035060818600761e-05,3.014330492057296e-05,40.142216129950256,33.83735446281908,29.24334685078835,30.087118777026664,0.02655799465391025
0.36,38.43801484041773,1.014547384936092,1.7049972321737867e-05,1.1434146405597448e-05,1.966721975973028e-05,2.286861001750838e-05,1.772745779317298e-05,2.0383223700058973e-05,3.0184023969847897e-05,40.154323964746034,33.83886317503885,29.244047873841698,30.09002992219717,0.026567614497784723
0.37,38.41473342649214,1.0124715776904107,1.7059461405955937e-05,1.1441870532399683e-05,1.9676094731926472e-05,2.287928629292536e-05,1.7719512549076865e-05,2.0414961682699784e-05,3.022372511519426e-05,40.16605191348358,33.84032875386361,29.244728597845203,30.09285054075317,0.026576953389294035
0.38,38.39217386833581,1.010445622913673,1.7068665319870306e-05,1.1449364616691559e-05,1.9684702211514695e-05,2.288964089430608e-05,1.771166848166598e-05,2.0445843140393967e-05,3.0262431300333263e-05,40.1774125810092,33.841752387734665,29.24538959839055,30.095583589566004,0.02658601969112049
0.39,38.370314278388996,1.0084687678654232,1.707759216363772e-05,1.1456635066052246e-05,1.9693049844806328e-05,2.2899683009911136e-05,1.770392984842832e-05,2.0475886751673405e-05,3.030016240763537e-05,40.18841733262502,33.84313513724419,29.246031390036613,30.098231732612927,0.026594820765735203
0.4,38.349134740099366,1.0065403577881427,1.7086249288910646e-05,1.1463687690822566e-05,1.9701144573372137e-05,2.2909420980889238e-05,1.7696300881318986e-05,2.05051092399159e-05,3.0336935863941588e-05,40.199076517099506,33.844477960102175,29.246654438082988,30.100797394051916,0.02660336329472303
0.41000000000000003,38.32861613367599,1.0046597792061551,1.7094643773539136e-05,1.1470528089685217e-05,1.9708993078353168e-05,2.2918862835720176e-05,1.768878578243239e-05,2.0533526711526145e-05,3.0372768262514115e-05,40.209400059946645,33.845781783548865,29.247259192309038,30.1032829005745,0.02661165373871946
0.42,38.30874138452426,1.002826499218054,1.7102781906673753e-05,1.1477161229202453e-05,1.971660129940356e-05,2.292801571144652e-05,1.768138847850944e-05,2.0561153325302475e-05,3.0407673678506645e-05,40.21939683713152,33.84704742342385,29.247846049546197,30.10569033026477,0.026619697715693603
0.43,38.28949396286706,1.0010400148286305,1.7110669798473487e-05,1.1483591939755931e-05,1.972397500509233e-05,2.2936886539824667e-05,1.7674112930693992e-05,2.0588002832945094e-05,3.044166569139593e-05,40.22907543175937,33.848275677912895,29.24841539727054,30.1080216944293,0.026627500778642305
0.44,38.27085846752319,0.9992998568941476,1.7118313137976176e-05,1.1489824717534775e-05,1.97311195668012e-05,2.294548177528113e-05,1.766696281521176e-05,2.0614088069501127e-05,3.0474756646827984e-05,40.23844384181386,33.84946728917854,29.248967595893866,30.110278866950498,0.02663506800907167
0.45,38.25282039459637,0.9976055823339002,1.712571728467134e-05,1.1495863798496001e-05,1.973804004460091e-05,2.2953807498185758e-05,1.7659941633888116e-05,2.0639421140251077e-05,3.0506957999594173e-05,40.24750959788201,33.850622956875924,29.249502985114386,30.112463612369176,0.026642404213861166
0.46,38.23536561891398,0.9959567614342129,1.7132887478744453e-05,1.1501713329288552e-05,1.974474138398185e-05,2.2961869651498342e-05,1.7653052804249155e-05,2.066401395864866e-05,3.053828093998145e-05,40.25628002493121,33.85174337036695,29.2500218989098,30.114577648746696,0.026649514117928978
0.47000000000000003,38.21848088314543,0.9943529653649901,1.713982863801114e-05,1.1507377201135652e-05,1.9751228226247157e-05,2.2969673812633117e-05,1.7646299311151822e-05,2.0687877866592225e-05,3.056873593786035e-05,40.26476199749936,33.85282917649621,29.25052465066956,30.116622588472286,0.026656402092077723
0.48,38.20215317668501,0.9927937736670097,1.7146545610975194e-05,1.1512859255836812e-05,1.975750514519955e-05,2.2977225478183525e-05,1.763968410803927e-05,2.0711024112245385e-05,3.059833339279789e-05,40.27296225270867,33.853881018653055,29.25101155134148,30.118600013533797,0.02666307252559612
0.49,38.18636994187514,0.9912787532981232,1.715304309036823e-05,1.1518163214862389e-05,1.9763576566481743e-05,2.2984529966862342e-05,1.7633209766876228e-05,2.0733463804335242e-05,3.062708351837917e-05,40.28088728742439,33.854899522859384,29.251482903034567,30.120511450579205,0.026669529614516303
0.5,38.17111895855536,0.9898074568281584,1.715932565896407e-05,1.152329271638756e-05,1.9769446810530818e-05,2.2991592471159217e-05,1.762687857634463e-05,2.075520797936171e-05,3.065499652345299e-05,40.28854341698232,33.85588530455776,29.25193900220553,30.122358384934536,0.026675777495779762
0.51,38.156388168436855,0.9883794354601906,1.716539786046777e-05,1.1528251372862364e-05,1.9775120158937453e-05,2.2998418137160102e-05,1.7620692703890912e-05,2.0776267703031027e-05,3.0682082680078e-05,40.29593686400392,33.856838979399654,29.25238014468859,30.12414228190431,0.026681820294407636
0.52,38.14216578977657,0.9869941988706045,1.7171264150958294e-05,1.1533042731087914e-05,1.978060080918613e-05,2.3005012010079208e-05,1.7614653779335564e-05,2.079665417247197e-05,3.070835250614654e-05,40.303073701416295,33.85776115532404,29.252806622065044,30.12586457291299,0.026687662029208848
0.53,38.128440141509415,0.9856512548871209,1.717692897014908e-05,1.15376703301477e-05,1.9785892941338595e-05,2.3011379114471824e-05,1.7608763367621385e-05,2.081637863631059e-05,3.07338166776858e-05,40.3099599412692,33.8586524434663,29.253218726741757,30.127526676829213,0.026693306775837308
0.54,38.11519967548597,0.9843500769003627,1.7182396726987005e-05,1.1542137689412452e-05,1.9791000704672195e-05,2.3017524438145366e-05,1.7603022604290297e-05,2.083545256410245e-05,3.075848620887633e-05,40.31660151904959,33.85951345564141,29.25361675081615,30.129129996085847,0.026698758548249112
0.55,38.102432931861514,0.9830901066822508,1.718767181699887e-05,1.1546448322484596e-05,1.979592823397459e-05,2.3023452951751156e-05,1.759743229752697e-05,2.0853887631528868e-05,3.078237252099488e-05,40.32300431653429,33.860344806829275,29.254000987253146,30.1306759221047,0.026704021396233634
