Position,Tl,Hl_CO2,Hl_MEA,Hl_H2O,Hl_T,Fl_T,Hlf,Hl_CO2_trn,Hl_H2O_trn,Hl_trn,ql,Hl_flux,dHlf_dz,dTl_dz,dHl_dT
0.5700000000000001,346.5050859263581,-83999.99999,-49705.75768358262,-46346.94562909275,-47787.43543307313,93.14299665038001,-4451064.938472982,-17149.875632302752,26426.866583453782,-544.2928307505381,-1138.1077486203262,-1682.4005793708643,1682.4005793708643,8.405530451251806,83.98899053368697
0.58,346.5872362190475,-83999.99999,-49691.1635533763,-46340.74285178298,-47775.34312256558,93.16450383484465,-4450966.13755328,-16516.771181540145,25374.79877468693,-522.5719496295019,-1088.7377558333658,-1611.3097054628677,1611.3097054628677,8.02676592724397,84.00001605891543
0.59,346.66566627398197,-83999.99999,-49677.228689951844,-46334.82088278558,-47763.75930543167,93.18511783539188,-4450871.5391379455,-15893.516807355203,24347.45834594648,-501.36466793994776,-1040.9454969752153,-1542.310164915163,1542.310164915163,7.661392847317079,84.01061101334099
0.6,346.74050746426025,-83999.99999,-49663.92997569722,-46329.1698145859,-47752.66942822375,93.20486314194429,-4450781.018720102,-15281.130600208975,23345.42677371752,-480.6797127590364,-994.7192242378388,-1475.3989369968754,1475.3989369968754,7.309041705241356,84.0207846042141
0.61,346.81189111760034,-83999.99999,-49651.24428057337,-46323.77974202846,-47742.05880840377,93.22376453958242,-4450694.44898953,-14680.542764029413,22369.731932521365,-460.5429527882374,-950.0518252767638,-1410.5947780650013,1410.5947780650013,6.969770994592485,84.03054627443225
0.62,346.8799453668605,-83999.99999,-49639.1490230973,-46318.6410001912,-47731.91261000689,93.24184726247555,-4450611.705128093,-14092.568242541874,21420.716467745875,-440.9581116379899,-906.9319694822503,-1347.8900811202402,1347.8900811202402,6.643184041613275,84.03990613764013
0.63,346.9447965242358,-83999.99999,-49627.621927492284,-46313.744060688965,-47722.21605304322,93.25913649088542,-4450532.660538281,-13517.934327030342,20498.941225793336,-421.9380257843285,-865.3401368913309,-1287.2781626756594,1287.2781626756594,6.329121027350319,84.04887444184781
0.64,347.00656932778304,-83999.99999,-49616.64098109126,-46309.0795131188,-47712.9542557355,93.2756577125322,-4450457.189611691,-12957.264483464625,19604.840779648322,-403.49286615114477,-825.2632258655797,-1228.7560920167243,1228.7560920167243,6.027409448367678,84.05746180909398
0.65,347.06538444184986,-83999.99999,-49606.184879874345,-46304.63825386624,-47704.11248791234,93.2914362437508,-4450385.16873079,-12411.085568349768,18738.461388543776,-385.6206608953316,-786.6759704780314,-1172.296631373363,1172.296631373363,5.73763665303346,84.06567910735474
0.66,347.12136187548725,-83999.99999,-49596.23242194145,-46300.411228034034,-47695.67601233919,93.30649746397339,-4450316.472887822,-11879.836892785846,17900.172276532383,-368.33236496332194,-749.5564217575813,-1117.8887867209032,1117.8887867209032,5.459718184938516,84.07353729898583
0.67,347.1746171141409,-83999.99999,-49586.76319630762,-46296.38972160228,-47687.63029111408,93.32086652796201,-4450250.981431855,-11363.863219938907,17089.82335191498,-351.62208823167396,-713.879477060897,-1065.5015652925708,1065.5015652925708,5.193230872850421,84.08104755995349
0.68,347.22526368495807,-83999.99999,-49577.75712788085,-46292.56516776958,-47679.960918623845,93.33456838888296,-4450188.573138564,-10863.429239993338,16307.411929028605,-335.49050155277575,-679.6139132556824,-1015.1044148084582,1015.1044148084582,4.937927442019718,84.08822108050458
0.6900000000000001,347.27341243390714,-83999.99999,-49569.19460694046,-46288.92920158919,-47672.65364394972,93.3476278155183,-4450129.129333531,-10378.718115765821,15552.844484843525,-319.9364128776699,-646.7334430158342,-966.6698558935041,966.6698558935041,4.693557250178468,84.09506911089386
0.7000000000000001,347.31916976861356,-83999.99999,-49561.05680256533,-46285.47379271091,-47665.694550839755,93.36006905008618,-4450072.534586716,-9909.840069973812,14825.746316237324,-304.94978056867706,-615.2033359482664,-920.1531165169434,920.1531165169434,4.459698663067311,84.10160286837855
0.71,347.36264103203973,-83999.99999,-49553.32506353059,-46282.19099066132,-47659.06980823904,93.37191621899659,-4450018.6732102055,-9456.834345760351,14125.969223766286,-290.5298389358631,-584.991335010499,-875.5211739463621,875.5211739463621,4.236167696931861,84.10783355232837
0.72,347.4039263539497,-83999.99999,-49545.98165693168,-46279.073238167555,-47652.766032937245,93.38319274006277,-4449967.4350508945,-9019.67996401317,13453.012671780918,-276.6641619709634,-556.0637315908587,-832.727893561822,832.727893561822,4.022548376444836,84.11377222374216
0.73,347.4431239381564,-83999.99999,-49539.00918430878,-46276.11312295735,-47646.77001943289,93.39392173775724,-4449918.710251833,-8598.294805831769,12806.476155078095,-263.3449027963288,-528.3827119687445,-791.7276147650733,791.7276147650733,3.818549419028091,84.11942987241613
0.74,347.48032872960897,-83999.99999,-49532.39081941418,-46273.3034784531,-47641.06888454574,93.40412582331535,-4449872.3924493445,-8192.545179025075,12185.909045567263,-250.56321915500976,-501.91451517134254,-752.4777343263523,752.4777343263523,3.6238840718584813,84.12481732544771
0.75,347.515631287865,-83999.99999,-49526.11050929639,-46270.63746888197,-47635.650181526755,93.41382687575761,-4449828.379171291,-7802.2533601076575,11590.679525460291,-238.30441300274944,-476.6202733829896,-714.924686385739,714.924686385739,3.438153523297571,84.12994519012985
