Position,Nl_H2O,Nv_H2O,kv_H2O,a_eA,DF_H2O,fv_H2O,fl_H2O,P_sat_H2O
0.53,-0.7020649897912058,0.7020649897912058,4.011378268755417e-05,74.10685931382648,-236.1703052619232,31007.67909792473,31243.849403186654,35124.72679683229
0.54,-0.6790614117930771,0.6790614117930771,4.014694527936683e-05,74.11348926008304,-228.22293471983357,31159.306708280274,31387.529643000107,35282.95167648746
0.55,-0.6563180816725903,0.6563180816725903,4.017893596947921e-05,74.11986497816082,-220.3846378925773,31305.660855454054,31526.04549334663,35435.4655819354
0.56,-0.6338711767330018,0.6338711767330018,4.020977593150541e-05,74.12599277668387,-212.6663748629835,31446.82690066616,31659.493275529145,35582.37720086815
0.5700000000000001,-0.6117425993185818,0.6117425993185818,4.023948773622198e-05,74.13187912212128,-205.07431606158934,31582.89932746403,31787.97364352562,35723.79972439814
0.58,-0.5899611130067084,0.5899611130067084,4.026809415765093e-05,74.13753041952839,-197.61695157068243,31713.97322372349,31911.59017529417,35859.8494733172
0.59,-0.5685534843339675,0.5685534843339675,4.0295619133685414e-05,74.14295319358507,-190.30211365735886,31840.14974953432,32030.45186319168,35990.64857761839
0.6,-0.5475378508314875,0.5475378508314875,4.0322087137054236e-05,74.14815395703451,-183.13476695817008,31961.534264604936,32144.669031563106,36116.32042759442
0.61,-0.5269417712813036,0.5269417712813036,4.034752309004109e-05,74.15313921399067,-176.12305372091578,32078.233213981606,32254.356267702522,36236.99305863488
0.62,-0.506779381921843,0.506779381921843,4.037195279141302e-05,74.15791552039629,-169.27065194501483,32190.359291281413,32359.629943226428,36352.79623923201
0.63,-0.4870697432451064,0.4870697432451064,4.039540210926947e-05,74.16248934826835,-162.58291934031877,32298.02513821396,32460.60805755428,36463.861454044905
0.64,-0.46782954775262436,0.46782954775262436,4.0417897588242884e-05,74.1668671989407,-156.06445283728317,32401.347015508083,32557.411468345366,36570.32320697426
0.65,-0.4490675853537564,0.4490675853537564,4.043946589062917e-05,74.17105549052734,-149.71724870773323,32500.443094615435,32650.16034332317,36672.31507258361
0.66,-0.43079978770464555,0.43079978770464555,4.0460133912974495e-05,74.17506060223764,-143.54572230446865,32595.431749716714,32738.977472021183,36769.97347293864
0.67,-0.41303086475739004,0.41303086475739004,4.047992875483459e-05,74.17888884954928,-137.5505855573756,32686.43400758792,32823.984593145295,36863.433489109935
0.68,-0.3957689555121097,0.3957689555121097,4.049887742705022e-05,74.18254645001822,-131.7337340334998,32773.57014026845,32905.30387430195,36952.830615070765
0.6900000000000001,-0.37902012634942694,0.37902012634942694,4.0517007087347024e-05,74.18603956593192,-126.09641162311891,32856.961435394354,32983.05784701747,37038.30064774269
0.7000000000000001,-0.3627840773404413,0.3627840773404413,4.053434459865704e-05,74.18937421781476,-120.63778493770224,32936.72884142478,33057.366626362484,37119.97659531162
0.71,-0.3470657220129663,0.3470657220129663,4.055091684938174e-05,74.19255636570577,-115.35879458708223,33012.992714165,33128.35150875208,37197.99273794543
0.72,-0.3318615458861915,0.3318615458861915,4.0566750333772787e-05,74.1955918142827,-110.25761891825096,33085.8728515249,33196.13047044315,37272.47956636793
0.73,-0.3171703934959518,0.3171703934959518,4.058187132841989e-05,74.19848626596229,-105.33326016069623,33155.48776198299,33260.82102214369,37343.5670161443
0.74,-0.30298965884548074,0.30298965884548074,4.059630582426395e-05,74.20124530642327,-100.58427653996478,33221.95485573123,33322.539132271195,37411.383256621906
0.75,-0.2893121500432913,0.2893121500432913,4.061007921221541e-05,74.20387434429325,-96.00774182334862,33285.38949730291,33381.39723912626,37476.05248133687
0.76,-0.27613437771019367,0.27613437771019367,4.0623216750218895e-05,74.20637871616262,-91.60199442708836,33345.905904323125,33437.50789875021,37537.69899444172
0.77,-0.2634471179317521,0.2634471179317521,4.063574288799108e-05,74.20876354749437,-87.36350561265863,33403.61544626702,33490.978951879675,37596.44181905418
0.78,-0.25124278053969656,0.25124278053969656,4.064768177851818e-05,74.21103386504036,-83.28932208692277,33458.62790694373,33541.91722903065,37652.3988378081
0.79,-0.23951296607769554,0.23951296607769554,4.06590570055565e-05,74.21319454423731,-79.37625422334531,33511.05058438165,33590.426838604995,37705.684892938174
0.8,-0.2282461609705122,0.2282461609705122,4.066989137265389e-05,74.21525026919731,-75.62011140247341,33560.98768845206,33636.60779985454,37756.41026623708
0.81,-0.2174336581471544,0.2174336581471544,4.068020746982973e-05,74.21720565242754,-72.01766141429835,33608.5420303277,33680.559691742,37804.68474521221
0.8200000000000001,-0.2070618746567588,0.2070618746567588,4.0690026766609726e-05,74.21906505369898,-68.56408535521041,33653.81205653921,33722.37614189442,37850.61149970341
0.8300000000000001,-0.19711866979086357,0.19711866979086357,4.069937042621383e-05,74.22083274721918,-65.25506787997438,33696.894598523104,33762.14966640308,37894.29246086836
0.84,-0.18758869885913151,0.18758869885913151,4.070825869814927e-05,74.22251280207325,-62.085258260289265,33737.88282485935,33799.96808311964,37935.82433967626
0.85,-0.17843444568665123,0.17843444568665123,4.071670957203156e-05,74.22410880505184,-59.04199586335744,33776.86304653046,33835.90504239382,37975.28805663593
0.86,-0.16965278216317156,0.16965278216317156,4.0724743069365904e-05,74.22562474979605,-56.124020083239884,33813.925496326185,33870.049516409425,38012.78164996991
0.87,-0.16104499632330885,0.16104499632330885,4.0732364533441765e-05,74.22706157656988,-53.26541873590759,33849.12382393335,33902.389242669255,38048.290172332585
0.88,-0.15245739313591558,0.15245739313591558,4.073958217302418e-05,74.22842080810882,-50.41522361490206,33882.51766380477,33932.93288741967,38081.822062373314
0.89,-0.14332307864284954,0.14332307864284954,4.0746374572769624e-05,74.22969780989278,-47.38593590346136,33914.0954910192,33961.48142692266,38113.153910441375
0.9,-0.13015239770117096,0.13015239770117096,4.075251552228306e-05,74.23084539956878,-43.02425362507347,33943.363672536725,33986.3879261618,38140.44574977797
0.91,-0.11417763667458151,0.11417763667458151,4.075810926293728e-05,74.23188502791642,-37.73779588552861,33970.60431464345,34008.34211052898,38164.46662003976
0.92,-0.06895342192741657,0.06895342192741657,4.076132707433408e-05,74.23243660154168,-22.78839783170406,33991.5630430589,34014.351440890605,38170.70957137162
0.93,0.02652595949453219,-0.02652595949453219,4.0760714423179526e-05,74.23219814608787,8.76671713162068,34002.86609400344,33994.09937687182,38147.65609311029
0.9400000000000001,0.2528061625321009,-0.2528061625321009,4.0750633330352695e-05,74.22999837221593,83.57451068155933,33991.32449207705,33907.74998139549,38050.82986969425
0.9500000000000001,1.0847705750771497,-1.0847705750771497,4.069728051152801e-05,74.21881700435499,359.1356176785048,33877.51520363259,33518.379585954084,37615.69943897713
0.96,3.319112507001065,-3.319112507001065,4.053866610464421e-05,74.18582190511634,1103.6506077143567,33513.93470042046,32410.284092706104,36378.000276607396
0.97,8.889970085237781,-8.889970085237781,4.008942264279569e-05,74.0928635654241,2992.9131746657185,32447.125836305222,29454.212661639503,33075.747444451714
0.98,18.978640045965378,-18.978640045965378,3.89902398190294e-05,73.86725439981944,6589.5722736075,29716.205161414804,23126.632887807304,26001.451535183456
0.99,26.684169674752724,-26.684169674752724,3.707001776750529e-05,73.48241522637895,9795.970689992435,24548.47813635537,14752.507446362935,16623.603336388343
1.0,24.362030359361647,-24.362030359361647,3.4904263138481914e-05,73.06817248396845,9552.273764869075,18071.225416960748,8518.951652091673,9626.497016736885
